dt1 dt2 dt3 dt4 controller drones queue deliveries fullTrips revenue costs penalties avgDelTime avgWaitTime fDel fRet fLaunch collisions unknown rejectionPenalties potentialLost avgPotentialLost
Jun 12th 16:28:16.232 UTC 2 14 39 818 807 1970.755 3512.137 0 965.0018 794.7145 0 0 57 0 0 1420 727.6232 2.562053
Jun 12th 16:27:23.031 UTC 3 11 1 578 574 1452.912 2664.773 5 196.5917 11.02924 1 1 76 0 0 0 0 NaN
Jun 12th 16:27:16.223 UTC 2 15 40 815 804 1962.002 3497.563 0 964.1719 793.9242 0 0 57 0 0 1405 723.2332 2.573783
Jun 12th 16:26:23.041 UTC 3 8 1 576 573 1448.907 2657.137 5 196.7188 11.09092 1 1 76 0 0 0 0 NaN
Jun 12th 16:26:16.225 UTC 2 15 40 812 803 1956.702 3492.135 0 963.4266 793.604 0 0 57 0 0 1405 723.2332 2.573783
Jun 12th 16:25:23.032 UTC 3 5 1 576 573 1448.907 2657.137 5 196.7188 11.11279 1 1 76 0 0 0 0 NaN
Jun 12th 16:25:16.234 UTC 2 15 40 810 803 1953.233 3492.135 0 962.8095 793.604 0 0 57 0 0 1390 712.4906 2.562916
Jun 12th 16:24:23.032 UTC 3 4 1 576 572 1448.907 2649.916 5 196.7188 11.14069 1 1 76 0 0 0 0 NaN
Jun 12th 16:24:16.224 UTC 2 15 38 806 802 1939.521 3485.434 0 961.6081 793.3784 0 0 57 0 0 1390 712.4906 2.562916
Jun 12th 16:23:21.886 UTC 3 8 0 575 568 1447.707 2630.785 5 196.6048 11.14069 1 1 75 0 0 0 0 NaN
Jun 12th 16:23:15.091 UTC 2 15 40 804 799 1931.861 3465.904 0 960.9915 792.7476 0 0 56 0 0 1380 707.2556 2.56252
Jun 12th 16:22:21.886 UTC 3 7 0 574 568 1446.807 2630.785 5 196.8358 11.15394 1 1 75 0 0 0 0 NaN
Jun 12th 16:22:15.102 UTC 2 14 39 803 797 1929.381 3453.746 0 960.7446 792.0419 0 0 56 0 0 1375 706.3555 2.568566
Jun 12th 16:21:21.092 UTC 3 7 0 573 567 1445.607 2627.801 5 196.6452 11.15818 1 1 74 0 0 0 0 NaN
Jun 12th 16:21:15.091 UTC 2 15 40 803 793 1929.381 3432.458 0 960.7446 791.243 0 0 56 0 0 1370 705.0056 2.573013
Jun 12th 16:20:21.112 UTC 3 7 0 572 567 1440.522 2627.801 5 196.7713 11.15818 1 1 74 0 0 0 0 NaN
Jun 12th 16:20:15.091 UTC 2 15 40 803 791 1929.381 3422.198 0 960.7446 790.7589 0 0 56 0 0 1350 693.0117 2.56671
Jun 12th 16:19:21.102 UTC 3 8 0 569 565 1431.669 2617.593 5 196.6603 11.16064 1 1 74 0 0 0 0 NaN
Jun 12th 16:19:15.101 UTC 2 15 39 799 790 1921.967 3417.45 0 960.1973 790.5314 0 0 56 0 0 1340 687.2292 2.564288
Jun 12th 16:18:20.112 UTC 3 7 1 569 565 1431.669 2617.593 5 196.6603 11.17532 1 1 73 0 0 0 0 NaN
Jun 12th 16:18:15.100 UTC 2 15 40 797 788 1919.597 3407.095 0 959.915 790.1407 0 0 56 0 0 1325 681.0942 2.570167
Jun 12th 16:17:20.122 UTC 3 8 0 569 563 1431.669 2608.693 5 196.6603 11.1813 1 1 73 0 0 0 0 NaN
Jun 12th 16:17:15.091 UTC 2 15 40 794 788 1906.867 3407.095 0 959.3115 790.1407 0 0 56 0 0 1305 667.6493 2.558043
Jun 12th 16:16:20.111 UTC 3 12 1 567 557 1427.446 2569.155 5 196.3505 11.19851 1 1 73 0 0 0 0 NaN
Jun 12th 16:16:15.090 UTC 2 15 39 791 786 1901.043 3398.077 0 958.7719 789.9779 0 0 56 0 0 1300 661.4393 2.543997
Jun 12th 16:15:19.244 UTC 3 15 1 566 553 1425.811 2541.663 5 196.5165 11.1798 1 1 72 0 0 0 0 NaN
Jun 12th 16:15:15.100 UTC 2 14 39 789 783 1897.868 3387.859 0 958.1433 789.6259 0 0 56 0 0 1300 661.4393 2.543997
Jun 12th 16:14:19.233 UTC 3 14 0 564 552 1421.328 2538.794 5 196.3065 11.20379 1 1 72 0 0 0 0 NaN
Jun 12th 16:14:15.100 UTC 2 15 40 788 781 1896.518 3376.955 0 957.7752 789.5088 0 0 56 0 0 1290 649.4918 2.51741
Jun 12th 16:13:19.236 UTC 3 14 0 562 552 1414.548 2538.794 5 196.4498 11.20379 1 1 72 0 0 0 0 NaN
Jun 12th 16:13:15.091 UTC 2 14 37 785 780 1884.332 3370.483 0 957.5776 789.4462 0 0 56 0 0 1285 645.5093 2.511709
Jun 12th 16:12:19.233 UTC 3 13 0 560 551 1406.87 2536.927 5 196.1899 11.22801 1 1 72 0 0 0 0 NaN
Jun 12th 16:12:15.091 UTC 2 14 40 784 774 1882.697 3341.954 0 957.323 788.4508 0 0 56 0 0 1285 645.5093 2.511709
Jun 12th 16:11:19.236 UTC 3 15 1 558 548 1400.435 2523.582 5 196.0813 11.10267 1 1 72 0 0 0 0 NaN
Jun 12th 16:11:12.940 UTC 2 14 39 782 772 1880.797 3337.828 0 957.0397 787.9892 0 0 54 0 0 1280 642.1193 2.508278
Jun 12th 16:10:19.235 UTC 3 13 4 554 547 1393.94 2515.911 5 195.133 10.7366 1 1 72 0 0 0 0 NaN
Jun 12th 16:10:12.930 UTC 2 15 40 780 769 1875.83 3325.587 0 956.4775 787.4053 0 0 54 0 0 1260 636.0142 2.523866
Jun 12th 16:09:19.244 UTC 3 15 3 552 544 1387.469 2497.958 5 194.3737 10.53813 1 1 72 0 0 0 0 NaN
Jun 12th 16:09:12.929 UTC 2 14 39 776 769 1865.543 3325.587 0 956.1351 787.2119 0 0 54 0 0 1250 630.3517 2.521407
Jun 12th 16:08:19.234 UTC 3 15 2 550 543 1383.644 2494.614 5 194.5583 10.40332 1 1 72 0 0 0 0 NaN
Jun 12th 16:08:12.940 UTC 2 15 39 772 765 1856.196 3307.477 0 955.2085 786.5875 0 0 54 0 0 1250 630.3517 2.521407
Jun 12th 16:07:19.235 UTC 3 15 1 549 542 1381.844 2489.521 5 194.7349 10.37359 1 1 72 0 0 0 0 NaN
Jun 12th 16:07:12.939 UTC 2 15 38 770 764 1849.223 3302.671 0 954.6946 786.3972 0 0 54 0 0 1245 627.8992 2.521683
Jun 12th 16:06:19.226 UTC 3 12 1 548 542 1380.494 2489.521 5 194.5748 10.40781 1 1 72 0 0 0 0 NaN
Jun 12th 16:06:12.927 UTC 2 15 38 769 762 1846.247 3291.132 0 954.6138 786.1501 0 0 54 0 0 1245 627.8992 2.521683
Jun 12th 16:05:19.236 UTC 3 12 1 546 539 1376.084 2476.699 5 194.5332 10.42778 1 1 72 0 0 0 0 NaN
Jun 12th 16:05:12.931 UTC 2 15 38 766 759 1838.489 3281.399 0 953.8823 785.6358 0 0 54 0 0 1245 627.8992 2.521683
Jun 12th 16:04:19.236 UTC 3 14 0 545 536 1372.694 2458.465 5 194.3109 10.43028 1 1 72 0 0 0 0 NaN
Jun 12th 16:04:12.930 UTC 2 15 38 765 756 1833.15 3273.779 0 953.6947 785.0238 0 0 54 0 0 1240 625.2142 2.521025
Jun 12th 16:03:17.247 UTC 3 13 1 542 535 1361.602 2456.754 5 194.1821 10.44618 1 1 70 0 0 0 0 NaN
Jun 12th 16:03:12.940 UTC 2 15 38 760 754 1819.102 3263.229 0 952.9406 784.6848 0 0 54 0 0 1240 625.2142 2.521025
Jun 12th 16:02:17.247 UTC 3 15 1 540 531 1358.482 2424.709 5 194.3979 10.34909 1 1 70 0 0 0 0 NaN
Jun 12th 16:02:12.929 UTC 2 15 37 757 751 1811.467 3246.836 0 952.3743 784.1854 0 0 54 0 0 1240 625.2142 2.521025
Jun 12th 16:01:16.279 UTC 3 14 1 538 530 1355.497 2421.949 5 194.2652 10.36664 1 1 69 0 0 0 0 NaN
Jun 12th 16:01:12.918 UTC 2 13 38 756 750 1809.577 3245.885 0 952.1133 783.6833 0 0 54 0 0 1240 625.2142 2.521025
Jun 12th 16:00:16.292 UTC 3 14 0 537 528 1354.897 2412.871 5 194.2811 10.38602 1 1 69 0 0 0 0 NaN
Jun 12th 16:00:12.940 UTC 2 14 39 754 745 1802.098 3220.95 0 951.8695 782.8721 0 0 54 0 0 1240 625.2142 2.521025
Jun 12th 15:59:15.380 UTC 3 15 2 536 525 1353.127 2392.384 5 194.4299 10.32791 1 1 68 0 0 0 0 NaN
Jun 12th 15:59:12.940 UTC 2 15 40 753 741 1801.298 3205.872 0 951.6243 782.0878 0 0 54 0 0 1230 622.0042 2.528472
Jun 12th 15:58:15.388 UTC 3 14 0 534 525 1350.267 2392.384 5 194.0561 10.34472 1 1 68 0 0 0 0 NaN
Jun 12th 15:58:12.930 UTC 2 15 40 749 739 1788.698 3196.873 0 950.8856 781.7183 0 0 54 0 0 1225 620.9141 2.534343
