dt1 dt2 dt3 dt4 controller drones queue deliveries fullTrips revenue costs penalties fDel fRet fLaunch collisions unknown total
May 31st 05:50:01.103 UTC 3 15 40 810 800 104568 3634.934 0.9654043 1 0 122 0 0 1933
May 31st 05:49:14.461 UTC 2 15 40 861 853 113916 3699.966 0 0 0 56 0 0 3412
May 31st 05:49:01.103 UTC 3 15 40 810 799 104568 3630.157 0.9654043 1 0 122 0 0 1927
May 31st 05:48:13.539 UTC 2 15 40 859 851 113727 3693.3 0 0 0 55 0 0 3403
May 31st 05:48:01.102 UTC 3 15 40 807 797 104339 3622.195 0.9654043 1 0 122 0 0 1921
May 31st 05:47:13.535 UTC 2 15 40 856 848 113313 3685.102 0 0 0 55 0 0 3394
May 31st 05:47:01.094 UTC 3 14 40 803 796 103845 3615.647 0.9654043 1 0 122 0 0 1915
May 31st 05:46:13.536 UTC 2 14 40 854 846 113173 3678.962 0 0 0 55 0 0 3385
May 31st 05:46:00.195 UTC 3 15 40 800 795 103279 3612.041 0.9654043 1 0 121 0 0 1910
May 31st 05:45:13.525 UTC 2 15 40 849 841 112588 3652.664 0 0 0 55 0 0 3375
May 31st 05:45:00.177 UTC 3 15 36 800 793 103279 3607.924 0.9654043 1 0 121 0 0 1904
May 31st 05:44:13.537 UTC 2 15 40 847 841 112302 3652.664 0 0 0 55 0 0 3365
May 31st 05:44:00.197 UTC 3 14 37 795 789 102744 3596.222 0.9654043 1 0 121 0 0 1900
May 31st 05:43:13.535 UTC 2 12 40 845 839 112113 3641.285 0 0 0 55 0 0 3351
May 31st 05:43:00.187 UTC 3 14 40 794 785 102684 3579.239 0.9654043 1 0 121 0 0 1898
May 31st 05:42:13.534 UTC 2 15 40 844 834 111936 3616.573 0 0 0 55 0 0 3342
May 31st 05:42:00.187 UTC 3 15 36 790 784 102287 3577.883 0.9654043 1 0 121 0 0 1892
May 31st 05:41:13.535 UTC 2 15 39 843 832 111827 3606.795 0 0 0 55 0 0 3329
May 31st 05:41:00.177 UTC 3 13 39 786 781 101805 3564.107 0.9654043 1 0 121 0 0 1890
May 31st 05:40:13.535 UTC 2 15 39 839 830 111236 3601.686 0 0 0 55 0 0 3319
May 31st 05:39:58.460 UTC 3 15 40 784 776 101552 3534.082 0.9654043 1 0 119 0 0 1884
