dt1 dt2 dt3 dt4 controller drones queue deliveries fullTrips revenue costs penalties avgDelTime avgWaitTime fDel fRet fLaunch collisions unknown potentialLost avgPotentialLost
Jun 11th 08:07:27.827 UTC 2 15 38 821 814 1967.584 3525.039 0 943.4359 775.5635 0 0 54 0 0 791.1785 2.815582
Jun 11th 08:06:42.150 UTC 3 15 0 572 566 1496.716 2487.243 0 184.6926 11.12923 0 0 82 0 0 0 NaN
Jun 11th 08:06:27.826 UTC 2 14 38 818 811 1959.248 3512.651 0 942.511 774.4374 0 0 54 0 0 791.1785 2.815582
Jun 11th 08:05:42.150 UTC 3 12 0 571 565 1495.081 2481.372 0 184.7459 11.15408 0 0 82 0 0 0 NaN
Jun 11th 08:05:27.818 UTC 2 15 40 818 807 1959.248 3491.054 0 942.511 773.4151 0 0 54 0 0 791.1785 2.815582
Jun 11th 08:04:40.599 UTC 3 15 1 568 560 1487.903 2460.508 0 185.0706 11.06764 0 0 80 0 0 0 NaN
Jun 11th 08:04:27.826 UTC 2 15 40 814 806 1952.066 3485.511 0 941.5433 773.1307 0 0 54 0 0 786.2635 2.818149
Jun 11th 08:03:40.589 UTC 3 15 0 568 559 1487.903 2459.059 0 185.0706 11.07041 0 0 80 0 0 0 NaN
Jun 11th 08:03:27.827 UTC 2 15 39 813 803 1951.121 3469.108 0 941.2637 772.2563 0 0 54 0 0 786.2635 2.818149
Jun 11th 08:02:40.598 UTC 3 13 0 565 558 1482.218 2455.147 0 185.1925 11.11197 0 0 80 0 0 0 NaN
Jun 11th 08:02:27.817 UTC 2 15 40 810 802 1938.592 3464.36 0 940.8098 771.9581 0 0 54 0 0 777.5897 2.807183
Jun 11th 08:01:39.627 UTC 3 12 0 561 557 1469.495 2451.659 0 185.3853 11.12637 0 0 79 0 0 0 NaN
Jun 11th 08:01:27.827 UTC 2 15 39 808 802 1931.737 3464.36 0 940.468 771.9581 0 0 54 0 0 774.9347 2.807734
Jun 11th 08:00:39.637 UTC 3 10 0 560 556 1467.47 2448.49 0 185.306 11.17717 0 0 79 0 0 0 NaN
Jun 11th 08:00:27.817 UTC 2 14 38 805 801 1928.277 3459.669 0 940.0471 771.6504 0 0 54 0 0 774.9347 2.807734
Jun 11th 07:59:39.638 UTC 3 10 0 559 554 1466.57 2441.307 0 185.3579 11.18832 0 0 79 0 0 0 NaN
Jun 11th 07:59:27.827 UTC 2 15 40 803 795 1923.986 3431.459 0 939.7407 770.9848 0 0 54 0 0 772.4822 2.809026
Jun 11th 07:58:38.883 UTC 3 10 0 557 554 1461.418 2441.307 0 185.0957 11.18832 0 0 78 0 0 0 NaN
Jun 11th 07:58:27.826 UTC 2 15 40 802 794 1921.533 3424.969 0 939.4464 770.8539 0 0 54 0 0 764.4271 2.810394
Jun 11th 07:57:38.894 UTC 3 13 0 556 549 1460.618 2415.146 0 185.1893 11.21283 0 0 78 0 0 0 NaN
Jun 11th 07:57:27.825 UTC 2 15 38 800 792 1915.56 3415.689 0 939.0823 770.6729 0 0 54 0 0 764.4271 2.810394
Jun 11th 07:56:38.884 UTC 3 12 0 553 547 1450.343 2407.019 0 185.5454 11.25092 0 0 78 0 0 0 NaN
Jun 11th 07:56:27.837 UTC 2 15 40 798 788 1911.35 3398.76 0 938.6875 770.2361 0 0 54 0 0 764.4271 2.810394
Jun 11th 07:55:38.904 UTC 3 11 1 552 545 1449.143 2398.326 0 185.7407 11.293 0 0 78 0 0 0 NaN
Jun 11th 07:55:27.826 UTC 2 14 40 793 788 1901.645 3398.76 0 937.783 770.0234 0 0 54 0 0 756.6421 2.802378
Jun 11th 07:54:38.893 UTC 3 12 0 552 543 1449.143 2389.187 0 185.7407 11.30111 0 0 78 0 0 0 NaN
Jun 11th 07:54:27.832 UTC 2 13 38 792 787 1899.05 3391.704 0 937.6331 769.665 0 0 54 0 0 756.6421 2.802378
Jun 11th 07:53:38.894 UTC 3 14 0 548 540 1441.77 2372.184 0 185.465 11.32014 0 0 78 0 0 0 NaN
Jun 11th 07:53:26.805 UTC 2 15 39 791 781 1893.076 3360.278 0 937.4739 768.8989 0 0 53 0 0 756.6421 2.802378
Jun 11th 07:52:38.058 UTC 3 14 1 545 537 1433.985 2354.978 0 185.3126 11.16585 0 0 77 0 0 0 NaN
Jun 11th 07:52:26.795 UTC 2 15 39 790 779 1891.788 3354.231 0 937.2534 768.4456 0 0 53 0 0 752.6146 2.797824
Jun 11th 07:51:38.059 UTC 3 15 1 545 536 1433.985 2347.22 0 185.3126 11.16585 0 0 77 0 0 0 NaN
Jun 11th 07:51:26.794 UTC 2 15 40 786 777 1883.237 3344.756 0 936.6572 768.0807 0 0 53 0 0 738.5408 2.786947
Jun 11th 07:50:38.049 UTC 3 14 0 540 535 1421.243 2345.188 0 185.2528 11.17744 0 0 77 0 0 0 NaN
Jun 11th 07:50:26.805 UTC 2 15 37 782 777 1867.565 3344.756 0 936.063 768.0807 0 0 53 0 0 738.5408 2.786947
Jun 11th 07:49:37.069 UTC 3 13 1 540 534 1421.243 2340.082 0 185.2528 11.20553 0 0 76 0 0 0 NaN
Jun 11th 07:49:26.807 UTC 2 15 37 780 775 1864.235 3339.74 0 935.6973 767.9584 0 0 53 0 0 738.5408 2.786947
Jun 11th 07:48:37.068 UTC 3 10 1 538 533 1413.919 2337.561 0 185.3411 11.23105 0 0 76 0 0 0 NaN
Jun 11th 07:48:26.797 UTC 2 15 38 778 772 1856.167 3326.934 0 934.8702 767.7059 0 0 53 0 0 738.5408 2.786947
Jun 11th 07:47:37.069 UTC 3 9 0 537 533 1412.284 2337.561 0 185.0532 11.2444 0 0 76 0 0 0 NaN
Jun 11th 07:47:26.790 UTC 2 15 39 777 767 1853.512 3312.443 0 934.8084 766.8878 0 0 53 0 0 738.5408 2.786947
Jun 11th 07:46:37.077 UTC 3 6 0 534 533 1402.256 2337.561 0 184.6584 11.26248 0 0 76 0 0 0 NaN
Jun 11th 07:46:26.805 UTC 2 15 39 774 765 1839.365 3303.585 0 934.0942 766.4675 0 0 53 0 0 734.5583 2.782418
Jun 11th 07:45:37.077 UTC 3 8 0 533 531 1398.274 2334.226 0 184.6275 11.26248 0 0 76 0 0 0 NaN
Jun 11th 07:45:26.797 UTC 2 15 36 768 763 1824.596 3291.484 0 932.4721 766.1516 0 0 53 0 0 734.5583 2.782418
