dt1 dt2 dt3 dt4 controller drones queue deliveries fullTrips revenue costs penalties avgDelTime avgWaitTime fDel fRet fLaunch collisions unknown rejectionPenalties potentialLost avgPotentialLost
Jun 12th 16:28:23.520 UTC 3 11 0 568 561 1483.683 2624.844 10 201.6006 15.50812 2 2 79 0 0 0 0 NaN
Jun 12th 16:27:33.863 UTC 2 13 35 875 869 2316.271 3466.882 0 294.8712 138.1887 0 0 75 0 0 995 350.0089 1.758839
Jun 12th 16:27:23.508 UTC 3 12 0 567 558 1478.103 2609.268 10 201.6317 15.54163 2 2 79 0 0 0 0 NaN
Jun 12th 16:26:32.729 UTC 2 14 38 873 863 2312.836 3438.522 0 295.326 138.4301 0 0 74 0 0 995 350.0089 1.758839
Jun 12th 16:26:21.661 UTC 3 13 0 566 556 1476.563 2593.641 10 201.5185 15.56789 2 2 77 0 0 0 0 NaN
Jun 12th 16:25:32.729 UTC 2 15 40 872 858 2312.182 3416.762 0 292.976 138.5587 0 0 74 0 0 985 342.5389 1.738776
Jun 12th 16:25:21.673 UTC 3 13 0 564 555 1473.21 2588.519 10 201.4089 15.587 2 2 77 0 0 0 0 NaN
Jun 12th 16:24:32.728 UTC 2 15 40 868 858 2304.51 3416.762 0 290.2812 138.5587 0 0 74 0 0 965 342.5389 1.774813
Jun 12th 16:24:21.661 UTC 3 13 0 562 553 1466.876 2578.068 10 201.4616 15.63059 2 2 77 0 0 0 0 NaN
Jun 12th 16:23:32.732 UTC 2 15 39 865 858 2298.635 3416.762 0 290.7065 138.5587 0 0 74 0 0 950 337.4314 1.775955
Jun 12th 16:23:21.659 UTC 3 14 0 560 551 1463.021 2572.085 10 201.1765 15.64801 2 2 77 0 0 0 0 NaN
Jun 12th 16:22:32.730 UTC 2 15 37 861 857 2286.479 3412.763 0 291.0562 138.6994 0 0 74 0 0 945 335.6614 1.775986
Jun 12th 16:22:21.671 UTC 3 14 0 560 549 1463.021 2563.3 10 201.1765 15.67266 2 2 77 0 0 0 0 NaN
Jun 12th 16:21:32.728 UTC 2 14 37 858 855 2275.977 3403.034 0 291.1237 134.9774 0 0 74 0 0 945 335.6614 1.775986
Jun 12th 16:21:20.955 UTC 3 13 0 555 549 1446.978 2563.3 10 201.3079 15.68508 2 2 76 0 0 0 0 NaN
Jun 12th 16:20:32.729 UTC 2 15 39 858 850 2275.977 3376.634 0 291.1237 134.1664 0 0 74 0 0 945 335.6614 1.775986
Jun 12th 16:20:20.956 UTC 3 10 0 552 549 1435.728 2563.3 10 201.2134 15.75296 2 2 76 0 0 0 0 NaN
Jun 12th 16:19:32.738 UTC 2 15 37 857 848 2273.952 3367.373 0 291.1714 134.4719 0 0 74 0 0 940 327.2914 1.740912
Jun 12th 16:19:20.955 UTC 3 11 0 552 546 1435.728 2551.722 10 201.2134 15.78971 2 2 76 0 0 0 0 NaN
Jun 12th 16:18:32.730 UTC 2 15 39 857 845 2273.952 3356.44 0 291.1714 134.7555 0 0 74 0 0 940 327.2914 1.740912
Jun 12th 16:18:20.965 UTC 3 8 0 550 545 1431.648 2546.154 10 201.363 15.87116 2 2 76 0 0 0 0 NaN
Jun 12th 16:17:32.731 UTC 2 14 40 852 843 2258.008 3349.413 0 291.3806 135.0035 0 0 74 0 0 935 326.4949 1.745962
Jun 12th 16:17:20.955 UTC 3 8 0 550 544 1431.648 2543.786 10 201.363 15.88183 2 2 76 0 0 0 0 NaN
Jun 12th 16:16:31.812 UTC 2 15 40 848 841 2243.337 3339.77 0 291.881 135.1346 0 0 73 0 0 925 324.8599 1.755999
Jun 12th 16:16:20.954 UTC 3 8 0 548 542 1421.545 2537.726 10 201.5546 15.91784 2 2 76 0 0 0 0 NaN
Jun 12th 16:15:31.824 UTC 2 14 40 845 841 2231.065 3339.77 0 290.9583 135.2834 0 0 73 0 0 910 321.7499 1.767856
Jun 12th 16:15:20.954 UTC 3 8 0 546 541 1415.17 2530.517 10 201.4946 15.94499 2 2 76 0 0 0 0 NaN
Jun 12th 16:14:31.824 UTC 2 15 39 844 836 2225.092 3319.806 0 290.94 135.4111 0 0 73 0 0 910 321.7499 1.767856
Jun 12th 16:14:20.955 UTC 3 8 1 544 539 1412.185 2522.635 10 201.7843 15.97253 2 2 76 0 0 0 0 NaN
Jun 12th 16:13:31.822 UTC 2 15 40 842 833 2222.691 3308.053 0 291.1124 135.7397 0 0 73 0 0 905 319.0949 1.762955
Jun 12th 16:13:20.966 UTC 3 7 1 543 538 1409.485 2518.968 10 202.0136 16.01668 2 2 76 0 0 0 0 NaN
Jun 12th 16:12:31.822 UTC 2 15 38 839 832 2217.719 3306.247 0 291.5507 135.8871 0 0 73 0 0 900 315.3749 1.752083
Jun 12th 16:12:20.956 UTC 3 8 0 543 536 1409.485 2512.088 10 202.0136 16.02974 2 2 76 0 0 0 0 NaN
Jun 12th 16:11:31.814 UTC 2 15 39 836 829 2213.467 3298.378 0 292.1955 135.1609 0 0 73 0 0 900 315.3749 1.752083
Jun 12th 16:11:20.955 UTC 3 7 0 542 534 1408.585 2501.937 10 202.2711 16.10408 2 2 76 0 0 0 0 NaN
Jun 12th 16:10:31.814 UTC 2 14 39 832 826 2203.777 3289.446 0 292.6489 135.6098 0 0 73 0 0 900 315.3749 1.752083
Jun 12th 16:10:20.230 UTC 3 6 0 539 534 1399.823 2501.937 10 202.157 16.11876 2 2 75 0 0 0 0 NaN
Jun 12th 16:09:31.832 UTC 2 14 39 829 823 2191.335 3276.174 0 292.9516 136.0402 0 0 73 0 0 890 315.3749 1.771769
Jun 12th 16:09:20.219 UTC 3 10 0 539 530 1399.823 2481.505 10 202.157 16.11876 2 2 75 0 0 0 0 NaN
Jun 12th 16:08:30.815 UTC 2 15 39 827 819 2186.325 3256.408 0 293.3371 136.4689 0 0 72 0 0 885 315.3749 1.781779
Jun 12th 16:08:20.219 UTC 3 10 0 536 529 1395.398 2477.334 10 202.4094 16.14637 2 2 75 0 0 0 0 NaN
Jun 12th 16:07:30.812 UTC 2 15 39 826 815 2182.86 3241.155 0 293.454 136.9478 0 0 72 0 0 880 313.7399 1.782613
Jun 12th 16:07:20.209 UTC 3 10 1 535 528 1394.048 2471.36 10 202.3506 16.16118 2 2 75 0 0 0 0 NaN
Jun 12th 16:06:30.819 UTC 2 13 40 821 814 2167.087 3238.755 0 294.1393 137.1078 0 0 72 0 0 875 311.4299 1.779599
Jun 12th 16:06:20.228 UTC 3 10 0 534 527 1391.348 2463.886 10 202.474 16.19081 2 2 75 0 0 0 0 NaN
Jun 12th 16:05:28.912 UTC 2 15 40 821 811 2167.087 3225.375 0 294.1393 137.2594 0 0 70 0 0 870 309.9579 1.781367
