dt1 dt2 dt3 dt4 uw controller drones queue deliveries fullTrips revenue costs penalties avgDelTime avgWaitTime fDel fRet fLaunch collisions unknown rejecValue avgRejecValue potentialLost avgPotentialLost
Jun 17th 18:47:53.371 UTC 5 18 20 12 666 660 1702.004 3024.895 5 519.2308 340.4234 1 0 14 0 1 265 139.512 2.632301 129.5349 2.444054
Jun 17th 18:47:48.588 UTC 0 22 1 0 300 299 746.1705 1166.266 0 554.1366 400.4368 0 0 26 0 0 650 312.003 2.400023 298.8334 2.298719
Jun 17th 18:47:44.938 UTC 4 9 1 0 400 399 1127.726 1680.783 5 237.368 65.2363 1 0 8 0 2 0 0 NaN 0 NaN
Jun 17th 18:47:42.839 UTC 8 8 20 3 524 516 1288.183 2336.745 0 449.0038 277.5233 0 0 13 0 0 300 130.8475 2.180791 128.0722 2.134537
Jun 17th 18:47:42.650 UTC 9 23 3 0 741 738 1794.322 3697.904 10 525.4601 327.4313 2 0 3 0 0 155 69.97927 2.257396 62.97853 2.031566
Jun 17th 18:47:39.622 UTC 3 19 19 0 638 629 1684.609 2970.568 0 516.7987 356.1302 0 1 13 0 1 185 89.43242 2.417092 64.12215 1.733031
Jun 17th 18:47:37.525 UTC 2 24 5 0 809 805 1976.718 4304.487 10 607.938 396.8443 2 0 0 0 0 295 136.9435 2.321075 117.1988 1.986421
Jun 17th 18:47:37.521 UTC 22 17 2 0 480 479 1269.633 2036.494 15 233.404 50.85067 3 0 0 0 0 0 0 NaN 0 NaN
Jun 17th 18:47:37.510 UTC 17 3 2 0 668 666 1715.795 3169.643 5 406.7752 217.6896 1 0 0 0 0 25 10.72395 2.14479 10.31695 2.06339
Jun 17th 18:47:37.487 UTC 6 16 0 0 589 588 1549.37 3005.808 5 366.339 164.666 1 1 0 0 0 0 0 NaN 0 NaN
Jun 17th 18:47:37.442 UTC 20 15 1 0 569 568 1545.391 2563.883 0 268.2188 90.60445 0 0 0 0 0 0 0 NaN 0 NaN
Jun 17th 18:47:37.209 UTC 11 20 3 0 538 534 1407.632 2319.722 35.17241 247.1424 72.16878 7 1 0 0 0 0 0 NaN 0 NaN
Jun 17th 18:47:32.588 UTC 1 11 1 0 455 451 1139.932 2161.23 7.881369 371.3884 168.6113 1 3 13 0 4 0 0 NaN 0 NaN
Jun 17th 18:47:28.144 UTC 15 5 5 0 560 556 1493.501 2715 15 339.674 146.1346 3 0 3 0 1 0 0 NaN 0 NaN
Jun 17th 18:47:22.367 UTC 19 2 2 0 581 580 1502.635 2545.858 5 300.0855 121.1289 1 0 4 0 0 0 0 NaN 0 NaN
Jun 17th 18:47:18.778 UTC 16 6 19 2 466 455 1218.797 1969.214 5 378.4442 209.6829 1 0 18 0 2 0 0 NaN 0 NaN
