dt1 dt2 dt3 dt4 uw controller drones queue deliveries fullTrips revenue costs penalties avgDelTime avgWaitTime fDel fRet fLaunch collisions unknown rejecValue avgRejecValue potentialLost avgPotentialLost
Jun 18th 02:25:05.555 UTC 3 16 20 9 616 605 1569.294 3168.357 0 456.705 246.5163 0 0 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:25:05.461 UTC 22 17 19 10 528 516 1397.456 2218.018 5 269.6848 79.75462 1 1 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:25:05.445 UTC 19 15 19 13 621 610 1759.282 2684.363 5 287.6798 114.5247 1 1 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:25:05.381 UTC 1 3 20 19 733 723 1901.012 3481.571 15 495.2508 298.9244 3 0 0 0 0 95 69.22375 3.643355 69.22375 3.643355
Jun 18th 02:25:05.103 UTC 21 20 20 10 597 586 1629.182 2576.662 20 313.2411 131.7866 4 0 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:24:21.058 UTC 6 8 18 49 518 505 1250.175 2505.068 10 634.6105 438.5771 2 0 14 0 3 450 207.5903 2.306559 207.5903 2.306559
Jun 18th 02:24:19.192 UTC 8 10 20 35 675 663 1662.878 3505.186 1.174508 716.6335 501.2546 0 1 9 0 3 1070 597.769 2.793313 597.769 2.793313
Jun 18th 02:24:16.142 UTC 2 5 17 0 591 583 1490.082 2839.845 21.45243 472.4089 277.2937 4 1 3 0 2 155 85.65749 2.763145 85.65749 2.763145
Jun 18th 02:24:14.128 UTC 16 13 20 49 227 211 583.6589 1096.279 12.84451 761.7609 548.1547 1 5 27 0 5 740 384.19 2.595878 384.19 2.595878
Jun 18th 02:24:05.545 UTC 3 16 20 5 610 601 1549.187 3145.359 0 458.1731 247.4001 0 0 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:24:05.478 UTC 22 17 20 8 525 513 1388.886 2206.071 5 270.422 79.74227 1 1 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:24:05.437 UTC 19 15 19 12 620 606 1758.192 2669.572 5 287.8363 114.2316 1 1 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:24:05.378 UTC 1 3 20 12 729 722 1886.751 3477.921 15 496.7554 299.18 3 0 0 0 0 95 69.22375 3.643355 69.22375 3.643355
Jun 18th 02:24:05.101 UTC 21 20 20 4 593 584 1623.747 2569.124 20 314.1243 132.026 4 0 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:24:04.064 UTC 11 6 20 48 394 386 1021.272 1676.023 0 558.0293 393.1627 0 0 19 0 4 285 151.3462 2.655197 151.3462 2.655197
Jun 18th 02:23:25.235 UTC 14 9 14 0 413 408 1022.081 1652.991 5 442.999 269.8972 1 0 11 0 1 305 171.2378 2.807176 171.2378 2.807176
Jun 18th 02:23:21.059 UTC 6 8 20 48 516 502 1244.876 2496.685 10 634.2621 438.3629 2 0 14 0 3 450 207.5903 2.306559 207.5903 2.306559
Jun 18th 02:23:19.191 UTC 8 10 20 31 672 662 1651.686 3501.258 1.174508 718.4234 501.7083 0 1 9 0 3 1070 597.769 2.793313 597.769 2.793313
Jun 18th 02:23:16.142 UTC 2 5 16 0 588 580 1484.374 2831.312 21.45243 474.2191 279.0321 4 1 3 0 2 155 85.65749 2.763145 85.65749 2.763145
Jun 18th 02:23:05.555 UTC 3 16 20 5 608 599 1543.483 3138.906 0 459.0213 247.9181 0 0 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:23:05.469 UTC 22 17 20 0 525 511 1388.886 2201.357 5 270.422 79.93526 1 1 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:23:05.449 UTC 19 15 20 6 617 604 1747.291 2662.966 5 287.9007 114.1459 1 1 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:23:05.377 UTC 1 3 20 9 727 720 1883.636 3472.47 15 497.4636 299.759 3 0 0 0 0 95 69.22375 3.643355 69.22375 3.643355
Jun 18th 02:23:05.110 UTC 21 20 19 1 590 582 1616.577 2564.417 20 314.5236 132.6057 4 0 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:23:04.065 UTC 11 6 20 47 391 383 1015.994 1668.234 0 554.6775 389.7616 0 0 19 0 4 285 151.3462 2.655197 151.3462 2.655197
Jun 18th 02:22:25.237 UTC 14 9 11 1 410 408 1014.543 1652.991 5 445.2488 271.7655 1 0 11 0 1 305 171.2378 2.807176 171.2378 2.807176
Jun 18th 02:22:21.052 UTC 6 8 20 43 513 500 1236.463 2489.543 10 634.4491 438.161 2 0 14 0 3 450 207.5903 2.306559 207.5903 2.306559
Jun 18th 02:22:19.202 UTC 8 10 18 21 667 659 1641.954 3487.995 1.174508 721.9207 504.0695 0 1 9 0 3 1070 597.769 2.793313 597.769 2.793313
Jun 18th 02:22:16.131 UTC 2 5 11 1 584 580 1474.697 2831.312 21.45243 476.4163 281.343 4 1 3 0 2 155 85.65749 2.763145 85.65749 2.763145
Jun 18th 02:22:05.544 UTC 3 16 19 1 604 599 1531.374 3138.906 0 460.7893 248.3035 0 0 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:22:05.467 UTC 22 17 18 1 518 508 1364.932 2195.243 5 271.632 80.60735 1 1 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:22:05.449 UTC 19 15 20 4 609 603 1723.467 2660.413 5 289.2899 114.152 1 1 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:22:05.387 UTC 1 3 18 2 724 719 1873.646 3470.364 15 498.8363 300.8458 3 0 0 0 0 95 69.22375 3.643355 69.22375 3.643355
Jun 18th 02:22:05.110 UTC 21 20 17 1 587 581 1608.259 2561.351 20 315.0478 133.2277 4 0 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:22:04.075 UTC 11 6 20 46 385 381 1003.421 1659.745 0 548.3712 387.6867 0 0 19 0 4 285 151.3462 2.655197 151.3462 2.655197
Jun 18th 02:21:21.069 UTC 6 8 20 37 509 499 1224.775 2483.161 10 634.4539 438.2202 2 0 14 0 3 450 207.5903 2.306559 207.5903 2.306559
Jun 18th 02:21:19.191 UTC 8 10 20 14 664 657 1629.602 3473.026 1.174508 724.1581 504.0695 0 1 9 0 3 1070 597.769 2.793313 597.769 2.793313
Jun 18th 02:21:16.131 UTC 2 5 11 0 583 579 1473.797 2829.592 21.45243 477.0237 281.815 4 1 3 0 2 155 85.65749 2.763145 85.65749 2.763145
Jun 18th 02:21:05.544 UTC 3 16 18 0 601 598 1521.099 3129.448 0 462.2889 249.094 0 0 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:21:05.476 UTC 22 17 15 1 511 507 1342.327 2193.829 5 273.2291 81.18877 1 1 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:21:05.438 UTC 19 15 19 4 605 601 1715.625 2657.423 5 290.0418 114.5635 1 1 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:21:05.377 UTC 1 3 13 2 720 718 1858.596 3467.766 15 500.7227 303.1562 3 0 0 0 0 95 69.22375 3.643355 69.22375 3.643355
Jun 18th 02:21:05.101 UTC 21 20 15 0 582 579 1595.569 2555.964 20 316.4312 134.0619 4 0 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:21:04.064 UTC 11 6 20 46 384 377 1000.766 1640.557 0 547.3388 383.5547 0 0 19 0 4 285 151.3462 2.655197 151.3462 2.655197
Jun 18th 02:20:25.244 UTC 14 9 4 0 408 408 1010.463 1652.991 5 446.4754 276.2674 1 0 11 0 1 305 171.2378 2.807176 171.2378 2.807176
Jun 18th 02:20:21.058 UTC 6 8 18 33 504 498 1209.008 2478.125 10 634.9666 437.6885 2 0 14 0 3 450 207.5903 2.306559 207.5903 2.306559
Jun 18th 02:20:19.190 UTC 8 10 16 9 661 657 1624.437 3473.026 1.174508 726.7636 506.4649 0 1 9 0 3 1070 597.769 2.793313 597.769 2.793313
Jun 18th 02:20:17.993 UTC 0 18 16 0 651 646 1690.001 3325.874 15 643.718 431.8312 3 1 8 0 1 680 345.605 2.541213 345.605 2.541213
Jun 18th 02:20:16.141 UTC 2 5 5 3 580 579 1470.087 2829.592 21.45243 478.8666 284.5017 4 1 3 0 2 155 85.65749 2.763145 85.65749 2.763145
Jun 18th 02:20:05.556 UTC 3 16 17 1 600 596 1519.299 3117.548 0 462.8195 250.2903 0 0 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:20:05.471 UTC 22 17 12 1 509 507 1338.382 2193.829 5 273.8718 81.62517 1 1 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:20:05.455 UTC 19 15 13 3 603 601 1706.951 2657.423 5 290.7 115.3296 1 1 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:20:05.373 UTC 1 3 9 3 719 717 1857.696 3459.099 15 501.2687 305.1563 3 0 0 0 0 95 69.22375 3.643355 69.22375 3.643355
Jun 18th 02:20:05.100 UTC 21 20 12 2 581 578 1594.229 2555.141 20 316.7362 134.8593 4 0 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:20:04.075 UTC 11 6 18 47 382 375 997.2339 1631.127 0 545.0184 379.2339 0 0 19 0 4 285 151.3462 2.655197 151.3462 2.655197
Jun 18th 02:19:37.918 UTC 18 21 5 0 414 413 1063.014 1719.858 1.685828 447.6697 269.8869 0 1 17 0 4 35 14.985 2.140714 14.985 2.140714
Jun 18th 02:19:32.130 UTC 20 4 15 1 598 593 1578.047 3373.458 0 857.9344 623.4914 0 0 11 0 0 1560 809.6965 2.595181 809.6965 2.595181
Jun 18th 02:19:25.234 UTC 14 9 2 0 408 408 1010.463 1652.991 5 446.4754 277.5813 1 0 11 0 1 305 171.2378 2.807176 171.2378 2.807176
Jun 18th 02:19:19.189 UTC 8 10 11 10 660 656 1623.347 3463.874 1.174508 727.6627 510.3291 0 1 9 0 3 1070 597.769 2.793313 597.769 2.793313
Jun 18th 02:19:17.994 UTC 0 18 15 1 650 642 1687.406 3302.161 15 644.5461 435.0051 3 1 8 0 1 680 345.605 2.541213 345.605 2.541213
Jun 18th 02:19:16.141 UTC 2 5 3 1 580 579 1470.087 2829.592 21.45243 478.8666 285.4541 4 1 3 0 2 155 85.65749 2.763145 85.65749 2.763145
Jun 18th 02:19:05.544 UTC 3 16 12 2 599 595 1516.819 3108.913 0 463.4728 252.6262 0 0 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:19:05.464 UTC 22 17 8 0 508 507 1334.703 2193.829 5 274.2941 82.23009 1 1 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:19:05.444 UTC 19 15 7 3 602 601 1705.601 2657.423 5 291.0422 116.2065 1 1 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:19:05.390 UTC 1 3 5 0 718 716 1856.606 3450.991 15 501.8178 307.1461 3 0 0 0 0 95 69.22375 3.643355 69.22375 3.643355
Jun 18th 02:19:05.110 UTC 21 20 6 4 578 578 1586.046 2555.141 20 317.9002 136.0047 4 0 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:19:04.064 UTC 11 6 20 49 381 367 994.0479 1600.039 0 544.2599 372.3275 0 0 19 0 4 285 151.3462 2.655197 151.3462 2.655197
Jun 18th 02:18:46.260 UTC 12 23 7 1 684 682 1749.846 3506.682 15 705.5048 498.951 3 0 6 0 0 435 243.1287 2.794583 243.1287 2.794583
Jun 18th 02:18:46.122 UTC 7 24 10 2 745 740 1815.167 4343.326 15.63274 832.8918 593.6511 3 1 2 0 0 1450 766.3156 2.642467 766.3156 2.642467
Jun 18th 02:18:37.917 UTC 18 21 3 0 414 413 1063.014 1719.858 1.685828 447.6697 271.145 0 1 17 0 4 35 14.985 2.140714 14.985 2.140714
Jun 18th 02:18:32.129 UTC 20 4 11 2 598 592 1578.047 3362.998 0 857.9344 628.5681 0 0 11 0 0 1560 809.6965 2.595181 809.6965 2.595181
Jun 18th 02:18:25.233 UTC 14 9 0 0 408 408 1010.463 1652.991 5 446.4754 278.9154 1 0 11 0 1 305 171.2378 2.807176 171.2378 2.807176
Jun 18th 02:18:19.200 UTC 8 10 7 6 660 654 1623.347 3453.732 1.174508 727.6627 514.5965 0 1 9 0 3 1070 597.769 2.793313 597.769 2.793313
Jun 18th 02:18:17.983 UTC 0 18 11 0 650 641 1687.406 3297.473 15 644.5461 438.276 3 1 8 0 1 680 345.605 2.541213 345.605 2.541213
Jun 18th 02:18:16.131 UTC 2 5 0 0 580 579 1470.087 2829.592 21.45243 478.8666 286.8426 4 1 3 0 2 155 85.65749 2.763145 85.65749 2.763145
Jun 18th 02:18:09.382 UTC 17 2 2 2 571 571 1443.377 2500.661 0 519.1768 339.9066 0 0 7 0 2 190 105.0612 2.76477 105.0612 2.76477
Jun 18th 02:18:05.544 UTC 3 16 6 0 599 595 1516.819 3108.913 0 463.4728 255.0079 0 0 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:18:05.462 UTC 22 17 2 1 508 507 1334.703 2193.829 5 274.2941 83.06559 1 1 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:18:05.441 UTC 19 15 1 2 602 601 1705.601 2657.423 5 291.0422 117.2217 1 1 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:18:05.383 UTC 1 3 5 1 718 715 1856.606 3442.403 15 501.8178 307.5633 3 0 0 0 0 95 69.22375 3.643355 69.22375 3.643355
Jun 18th 02:18:05.110 UTC 21 20 3 0 578 577 1586.046 2546.365 20 317.9002 136.817 4 0 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:18:04.195 UTC 13 11 9 1 511 502 1325.12 2431.469 29.14525 565.4351 358.2711 5 4 12 0 7 70 42.84625 3.060447 42.84625 3.060447
Jun 18th 02:17:54.060 UTC 15 12 18 48 386 375 851.694 1695.831 8.126801 866.6805 693.5245 1 2 22 0 0 860 466.05 2.709593 466.05 2.709593
Jun 18th 02:17:46.278 UTC 12 23 2 0 684 682 1749.846 3506.682 15 705.5048 502.4935 3 0 6 0 0 435 243.1287 2.794583 243.1287 2.794583
Jun 18th 02:17:46.122 UTC 7 24 5 1 745 739 1815.167 4336.031 15.63274 832.8918 598.2963 3 1 2 0 0 1450 766.3156 2.642467 766.3156 2.642467
Jun 18th 02:17:39.655 UTC 10 22 18 34 274 260 695.7528 1271.281 0 800.8927 610.2457 0 0 25 0 0 870 490.2838 2.817723 490.2838 2.817723
Jun 18th 02:17:37.906 UTC 18 21 0 0 414 413 1063.014 1719.858 1.685828 447.6697 273.0493 0 1 17 0 4 35 14.985 2.140714 14.985 2.140714
Jun 18th 02:17:32.119 UTC 20 4 8 0 598 590 1578.047 3345.772 0 857.9344 633.7286 0 0 11 0 0 1560 809.6965 2.595181 809.6965 2.595181
Jun 18th 02:17:25.234 UTC 14 9 1 0 408 407 1010.463 1644.892 5 446.4754 278.9154 1 0 11 0 1 305 171.2378 2.807176 171.2378 2.807176
Jun 18th 02:17:19.189 UTC 8 10 7 0 660 652 1623.347 3435.431 1.174508 727.6627 516.1147 0 1 9 0 3 1070 597.769 2.793313 597.769 2.793313
Jun 18th 02:17:17.983 UTC 0 18 9 0 649 640 1685.584 3288.292 15 644.5942 440.2262 3 1 8 0 1 680 345.605 2.541213 345.605 2.541213
Jun 18th 02:17:16.150 UTC 2 5 1 0 580 578 1470.087 2822.53 21.45243 478.8666 286.8426 4 1 3 0 2 155 85.65749 2.763145 85.65749 2.763145
Jun 18th 02:17:09.392 UTC 17 2 1 0 571 570 1443.377 2494.576 0 519.1768 341.0782 0 0 7 0 2 190 105.0612 2.76477 105.0612 2.76477
Jun 18th 02:17:05.556 UTC 3 16 8 0 599 591 1516.819 3079.867 0 463.4728 255.8207 0 0 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:17:05.470 UTC 22 17 0 0 508 507 1334.703 2193.829 5 274.2941 83.33672 1 1 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:17:05.433 UTC 19 15 2 0 602 599 1705.601 2641.685 5 291.0422 117.4114 1 1 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:17:05.374 UTC 1 3 4 0 718 714 1856.606 3433.995 15 501.8178 308.4011 3 0 0 0 0 95 69.22375 3.643355 69.22375 3.643355
Jun 18th 02:17:05.100 UTC 21 20 3 0 578 575 1586.046 2533.617 20 317.9002 137.2711 4 0 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:17:04.207 UTC 13 11 7 0 511 501 1325.12 2425.122 29.14525 565.4351 360.3365 5 4 12 0 7 70 42.84625 3.060447 42.84625 3.060447
