dt1 dt2 dt3 dt4 uw controller drones queue deliveries fullTrips revenue costs penalties avgDelTime avgWaitTime fDel fRet fLaunch collisions unknown rejecValue avgRejecValue potentialLost avgPotentialLost
Jun 18th 02:26:28.767 UTC 5 17 9 1 746 745 2036.309 3094.495 30 283.1648 111.6481 6 1 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:26:28.525 UTC 17 3 17 3 937 934 2600.182 4561.222 10 691.1887 490.6038 2 0 0 0 0 7045 955.216 0.6779389 873.6163 0.6200258
Jun 18th 02:26:28.450 UTC 21 15 13 2 842 842 2142.721 3764.947 15 402.2834 223.063 3 0 0 0 0 10 1.085727 0.5428634 0.7857268 0.3928634
Jun 18th 02:26:28.312 UTC 12 16 17 0 810 808 2136.932 4201.952 0 551.7638 339.8815 0 0 0 0 0 30 3.985927 0.6643212 3.445927 0.5743212
Jun 18th 02:26:21.154 UTC 14 8 20 14 752 741 2037.521 3556.283 0 635.7713 444.8292 0 0 10 0 1 380 63.65245 0.8375323 55.76245 0.7337164
Jun 18th 02:26:07.435 UTC 18 18 20 36 708 703 2355.168 3579.845 10 655.7389 453.4562 2 0 11 0 0 32210 4715.922 0.7320586 3921.823 0.6087897
Jun 18th 02:26:04.468 UTC 3 19 19 231 586 577 1850.752 2731.678 10 1103.943 916.9254 2 0 18 0 1 446695 91149.25 1.020263 24265.79 0.2716148
Jun 18th 02:26:03.649 UTC 9 20 10 1 813 810 2096.79 3593.301 20 450.9785 268.3985 4 0 2 0 0 0 0 NaN 0 NaN
Jun 18th 02:25:40.246 UTC 16 5 7 0 741 740 1957.132 3509.207 5 611.8094 421.7174 1 1 7 0 2 5575 1165.543 1.04533 1158.271 1.038808
Jun 18th 02:25:38.036 UTC 4 24 20 40 859 846 2944.141 4765.281 5.113008 809.556 580.152 1 1 1 0 0 12610 2818.082 1.1174 2667.466 1.057679
Jun 18th 02:25:33.203 UTC 13 7 18 122 346 336 1273.376 1599.415 10 573.7399 385.2758 2 0 27 0 2 29820 5734.794 0.9615685 5580.232 0.9356527
Jun 18th 02:25:32.432 UTC 0 6 19 117 414 401 1483.51 1798.517 17.92176 516.377 326.5227 3 1 22 0 6 23180 4140.373 0.8930916 3743.104 0.8073995
Jun 18th 02:25:29.591 UTC 22 4 20 245 746 740 2415.611 4204.716 0.1455382 914.415 725.0223 0 1 7 0 1 281545 44544.75 0.7910768 2856.704 0.05073264
Jun 18th 02:25:28.776 UTC 5 17 6 0 746 745 2036.309 3094.495 30 283.1648 112.0613 6 1 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:25:28.535 UTC 17 3 14 3 934 931 2593.677 4541.026 10 692.9481 493.584 2 0 0 0 0 7045 955.216 0.6779389 873.6163 0.6200258
Jun 18th 02:25:28.468 UTC 21 15 8 2 842 842 2142.721 3764.947 15 402.2834 224.3232 3 0 0 0 0 10 1.085727 0.5428634 0.7857268 0.3928634
Jun 18th 02:25:28.310 UTC 12 16 11 2 810 808 2136.932 4201.952 0 551.7638 342.2682 0 0 0 0 0 30 3.985927 0.6643212 3.445927 0.5743212
Jun 18th 02:25:28.276 UTC 19 9 5 0 647 643 1748.465 2611.55 0 420.243 249.8162 0 1 10 0 6 40 5.515581 0.6894476 5.215581 0.6519477
Jun 18th 02:25:21.154 UTC 14 8 20 8 750 739 2035.419 3545.287 0 635.4941 445.9276 0 0 10 0 1 380 63.65245 0.8375323 55.76245 0.7337164
Jun 18th 02:25:07.433 UTC 18 18 19 33 707 700 2354.937 3565.208 10 651.5989 455.8868 2 0 11 0 0 32210 4715.922 0.7320586 3921.823 0.6087897
Jun 18th 02:25:04.478 UTC 3 19 19 226 581 572 1845.134 2707.263 10 1093.435 924.5352 2 0 18 0 1 441315 89997.59 1.019653 24282.61 0.2751165
Jun 18th 02:25:03.647 UTC 9 20 6 0 812 810 2096.19 3593.301 20 451.3986 269.6759 4 0 2 0 0 0 0 NaN 0 NaN
Jun 18th 02:24:21.148 UTC 14 8 20 11 747 735 2032.76 3526.941 0 631.2753 448.0015 0 0 10 0 1 380 63.65245 0.8375323 55.76245 0.7337164
Jun 18th 02:24:20.138 UTC 1 21 20 13 553 539 1496.13 2181.86 7.796717 511.399 353.5034 1 1 18 0 9 6335 1068.262 0.8431425 1064.606 0.840257
Jun 18th 02:24:16.419 UTC 2 23 20 24 818 808 2556.842 4225.455 10 684.1431 500.5475 2 0 5 0 1 12715 2156.083 0.8478502 2022.974 0.7955068
Jun 18th 02:24:07.424 UTC 18 18 19 27 704 696 2349.027 3545.368 10 650.3303 458.3145 2 0 11 0 0 32210 4715.922 0.7320586 3921.823 0.6087897
Jun 18th 02:24:04.479 UTC 3 19 20 222 579 570 1841.354 2697.287 10 1092.741 926.0091 2 0 18 0 1 436950 89063.74 1.019153 24295.69 0.2780145
Jun 18th 02:24:03.662 UTC 9 20 2 0 811 810 2094.42 3593.301 20 451.8659 270.9665 4 0 2 0 0 0 0 NaN 0 NaN
Jun 18th 02:23:45.728 UTC 7 10 19 26 835 822 2658.039 4209.981 0 757.8644 565.1376 0 0 6 0 0 28030 5040.067 0.8990487 4619.278 0.8239882
Jun 18th 02:23:40.236 UTC 16 5 2 1 741 739 1957.132 3501.494 5 611.8094 425.0578 1 1 7 0 2 5575 1165.543 1.04533 1158.271 1.038808
Jun 18th 02:23:38.029 UTC 4 24 20 32 856 841 2939.97 4737.03 5.113008 804.3416 583.4011 1 1 1 0 0 12610 2818.082 1.1174 2667.466 1.057679
Jun 18th 02:23:32.424 UTC 0 6 20 113 407 395 1453.581 1767.305 17.92176 519.816 326.6756 3 1 22 0 6 20505 3667.925 0.8943977 3318.735 0.8092502
Jun 18th 02:23:29.580 UTC 22 4 20 243 744 733 2412.416 4145.754 0.1455382 911.0504 713.2203 0 1 7 0 1 271680 42980.43 0.7910121 2869.606 0.05281224
Jun 18th 02:23:28.766 UTC 5 17 0 0 746 745 2036.309 3094.495 30 283.1648 112.8976 6 1 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:23:28.521 UTC 17 3 10 0 934 924 2593.677 4497.109 10 692.9481 499.2728 2 0 0 0 0 7045 955.216 0.6779389 873.6163 0.6200258
Jun 18th 02:23:28.455 UTC 21 15 0 0 842 842 2142.721 3764.947 15 402.2834 226.2861 3 0 0 0 0 10 1.085727 0.5428634 0.7857268 0.3928634
Jun 18th 02:23:28.309 UTC 12 16 2 0 808 806 2132.048 4186.81 0 552.9199 346.8387 0 0 0 0 0 30 3.985927 0.6643212 3.445927 0.5743212
Jun 18th 02:23:28.265 UTC 19 9 1 0 645 643 1738.182 2611.55 0 421.2743 251.3236 0 1 10 0 6 40 5.515581 0.6894476 5.215581 0.6519477
Jun 18th 02:23:21.136 UTC 14 8 20 8 745 733 2030.995 3519.882 0 627.9572 449.1729 0 0 10 0 1 380 63.65245 0.8375323 55.76245 0.7337164
Jun 18th 02:23:20.148 UTC 1 21 20 14 550 535 1489.26 2169.775 7.796717 512.765 348.4811 1 1 18 0 9 6335 1068.262 0.8431425 1064.606 0.840257
Jun 18th 02:23:16.411 UTC 2 23 20 23 816 805 2553.652 4206.455 10 682.0866 493.5044 2 0 5 0 1 12715 2156.083 0.8478502 2022.974 0.7955068
Jun 18th 02:23:07.424 UTC 18 18 19 24 704 692 2349.027 3525.727 10 650.3303 458.545 2 0 11 0 0 32210 4715.922 0.7320586 3921.823 0.6087897
Jun 18th 02:23:04.470 UTC 3 19 20 223 578 568 1839.554 2690.098 10 1093.489 919.8926 2 0 18 0 1 434355 88508.8 1.018853 24303.26 0.2797627
Jun 18th 02:23:03.651 UTC 9 20 1 0 811 810 2094.42 3593.301 20 451.8659 271.2946 4 0 2 0 0 0 0 NaN 0 NaN
Jun 18th 02:22:49.295 UTC 20 2 18 10 742 732 2127.568 3219.065 5 674.2376 507.4037 1 1 11 0 5 13495 1649.598 0.6111887 1594.334 0.590713
Jun 18th 02:22:45.727 UTC 7 10 20 24 830 820 2652.443 4193.707 0 752.1148 562.6196 0 0 6 0 0 28030 5040.067 0.8990487 4619.278 0.8239882
Jun 18th 02:22:40.254 UTC 16 5 1 0 741 739 1957.132 3501.494 5 611.8094 425.6235 1 1 7 0 2 5575 1165.543 1.04533 1158.271 1.038808
Jun 18th 02:22:38.037 UTC 4 24 20 32 853 839 2935.015 4729.563 5.113008 802.4271 581.8958 1 1 1 0 0 12610 2818.082 1.1174 2667.466 1.057679
Jun 18th 02:22:32.433 UTC 0 6 20 116 404 392 1442.545 1747.961 17.92176 520.9122 328.5529 3 1 22 0 6 19210 3439.533 0.8952456 3113.523 0.8103912
Jun 18th 02:22:29.582 UTC 22 4 20 246 743 730 2412.077 4125.389 0.1455382 907.6682 702.4831 0 1 7 0 1 268755 42516.55 0.7909908 2873.605 0.05346143
Jun 18th 02:22:28.786 UTC 5 17 1 0 746 744 2036.309 3087.992 30 283.1648 112.8976 6 1 0 0 0 0 0 NaN 0 NaN
Jun 18th 02:22:28.532 UTC 17 3 13 0 934 921 2593.677 4485.969 10 692.9481 499.2728 2 0 0 0 0 7045 955.216 0.6779389 873.6163 0.6200258
Jun 18th 02:22:28.457 UTC 21 15 0 0 842 842 2142.721 3764.947 15 402.2834 226.2861 3 0 0 0 0 10 1.085727 0.5428634 0.7857268 0.3928634
Jun 18th 02:22:28.309 UTC 12 16 3 0 808 805 2132.048 4177.954 0 552.9199 346.8387 0 0 0 0 0 30 3.985927 0.6643212 3.445927 0.5743212
