dt1 dt2 dt3 dt4 controller drones queue deliveries fullTrips revenue costs penalties avgDelTime avgWaitTime fDel fRet fLaunch collisions unknown potentialLost avgPotentialLost
Jun 11th 09:37:55.203 UTC 2 14 40 894 885 2313.128 3446.487 0 302.1967 148.4424 0 0 74 0 0 350.9607 1.994095
Jun 11th 09:37:45.875 UTC 3 10 0 584 575 1552.943 2637.18 11.48871 193.839 12.33912 2 2 72 0 0 0 NaN
Jun 11th 09:36:55.212 UTC 2 15 40 893 882 2312.528 3434.205 0 302.0136 148.7525 0 0 74 0 0 348.4182 1.990961
Jun 11th 09:36:44.530 UTC 3 11 0 581 572 1538.168 2624.062 11.48871 194.0039 12.36109 2 2 71 0 0 0 NaN
Jun 11th 09:35:55.203 UTC 2 15 39 890 881 2306.055 3429.999 0 302.3256 148.8875 0 0 74 0 0 344.9742 2.005664
Jun 11th 09:35:44.539 UTC 3 13 0 579 570 1534.248 2613.589 11.48871 194.238 12.36109 2 2 71 0 0 0 NaN
Jun 11th 09:34:55.201 UTC 2 15 37 885 879 2295.059 3422.219 0 302.6822 149.1683 0 0 74 0 0 344.9742 2.005664
Jun 11th 09:34:44.540 UTC 3 12 0 576 569 1525.488 2610.918 11.48871 194.4569 12.38098 2 2 71 0 0 0 NaN
Jun 11th 09:33:55.212 UTC 2 15 36 884 878 2291.38 3420.933 0 302.7931 149.3265 0 0 74 0 0 344.9742 2.005664
Jun 11th 09:33:44.529 UTC 3 8 1 576 568 1525.488 2604.242 11.48871 194.4569 12.46666 2 2 71 0 0 0 NaN
Jun 11th 09:32:55.201 UTC 2 14 38 880 875 2283.202 3412.509 0 302.6624 149.6605 0 0 74 0 0 344.9742 2.005664
Jun 11th 09:32:41.782 UTC 3 9 1 573 566 1519.255 2593.603 11.48871 194.6199 12.47514 2 2 69 0 0 0 NaN
Jun 11th 09:31:55.202 UTC 2 14 39 878 871 2280.052 3393.659 0 303.1967 150.2404 0 0 74 0 0 344.9742 2.005664
Jun 11th 09:31:41.780 UTC 3 8 0 571 566 1516.646 2593.603 11.48871 194.4562 12.49446 2 2 69 0 0 0 NaN
Jun 11th 09:30:53.793 UTC 2 15 38 876 867 2272.444 3383.204 0 303.3852 150.3483 0 0 73 0 0 344.9742 2.005664
Jun 11th 09:30:41.782 UTC 3 11 0 571 562 1516.646 2574.328 11.48871 194.4562 12.50098 2 2 69 0 0 0 NaN
Jun 11th 09:29:53.786 UTC 2 15 38 872 864 2259.416 3370.309 0 304.2412 150.2726 0 0 73 0 0 344.9742 2.005664
Jun 11th 09:29:41.771 UTC 3 11 0 569 560 1513.08 2561.133 11.48871 194.4174 12.53677 2 2 69 0 0 0 NaN
Jun 11th 09:28:53.785 UTC 2 15 40 872 859 2259.416 3346.525 0 304.2412 150.9008 0 0 73 0 0 344.9742 2.017393
Jun 11th 09:28:39.527 UTC 3 10 0 568 560 1501.875 2561.133 11.48871 194.5558 12.54386 2 2 67 0 0 0 NaN
Jun 11th 09:27:53.785 UTC 2 14 39 867 858 2243.609 3342.38 0 303.8467 151.0695 0 0 73 0 0 344.9742 2.017393
Jun 11th 09:27:39.525 UTC 3 8 0 566 560 1497.297 2561.133 11.48871 194.4491 12.57654 2 2 67 0 0 0 NaN
Jun 11th 09:26:52.397 UTC 2 15 40 865 857 2237.699 3340.357 0 304.1631 151.0695 0 0 72 0 0 338.6405 2.015717
Jun 11th 09:26:38.116 UTC 3 10 0 565 557 1494.642 2550.701 11.48871 194.4286 12.58374 2 2 66 0 0 0 NaN
Jun 11th 09:25:52.399 UTC 2 15 38 861 855 2221.089 3332.07 0 303.9269 151.3527 0 0 72 0 0 335.3296 2.007962
Jun 11th 09:25:36.959 UTC 3 13 0 563 554 1488.105 2529.455 11.48871 194.2207 12.58374 2 2 65 0 0 0 NaN
Jun 11th 09:24:52.393 UTC 2 15 38 858 852 2209.072 3321.398 0 303.533 151.1421 0 0 72 0 0 335.3296 2.007962
Jun 11th 09:24:35.881 UTC 3 12 0 561 553 1485.696 2527.09 11.48871 194.4672 12.6022 2 2 64 0 0 0 NaN
Jun 11th 09:23:52.396 UTC 2 15 38 856 849 2203.368 3305.456 0 303.9581 151.3502 0 0 72 0 0 335.3296 2.007962
Jun 11th 09:23:35.882 UTC 3 12 1 559 551 1479.317 2519.623 11.48871 194.2868 12.63533 2 2 64 0 0 0 NaN
Jun 11th 09:22:52.397 UTC 2 14 40 855 845 2197.394 3285.881 0 304.1174 151.2449 0 0 72 0 0 335.3296 2.007962
Jun 11th 09:22:35.883 UTC 3 14 1 557 547 1470.272 2501.884 11.48871 194.7043 12.65102 2 2 64 0 0 0 NaN
Jun 11th 09:21:52.386 UTC 2 15 39 853 843 2192.969 3278.775 0 304.2535 151.4179 0 0 72 0 0 334.9716 2.017901
Jun 11th 09:21:35.871 UTC 3 12 1 556 546 1469.672 2499.206 11.48871 194.6009 12.70136 2 2 64 0 0 0 NaN
Jun 11th 09:20:52.396 UTC 2 14 40 852 842 2190.247 3276.864 0 304.0166 151.0605 0 0 72 0 0 334.1716 2.025282
Jun 11th 09:20:35.880 UTC 3 10 0 554 546 1460.705 2499.206 11.48871 194.7087 12.71927 2 2 64 0 0 0 NaN
Jun 11th 09:19:52.386 UTC 2 15 40 846 839 2174.677 3267.099 0 302.2631 151.2671 0 0 72 0 0 327.4186 2.021102
Jun 11th 09:19:35.879 UTC 3 11 0 550 544 1445.015 2494.021 11.48871 194.567 12.73453 2 2 64 0 0 0 NaN
Jun 11th 09:18:52.404 UTC 2 15 38 841 837 2161.145 3261.479 0 302.7358 151.5473 0 0 72 0 0 327.4186 2.021102
Jun 11th 09:18:35.881 UTC 3 12 0 548 542 1439.705 2478.47 10.0214 194.4042 12.7651 2 1 64 0 0 0 NaN
Jun 11th 09:17:52.394 UTC 2 15 35 841 835 2161.145 3255.939 0 302.7358 151.8689 0 0 72 0 0 327.4186 2.021102
Jun 11th 09:17:35.881 UTC 3 11 1 547 541 1439.105 2472.551 10.0214 194.6507 12.78704 2 1 64 0 0 0 NaN
Jun 11th 09:16:52.397 UTC 2 13 37 837 833 2156.655 3248.721 0 303.2898 149.6539 0 0 72 0 0 327.4186 2.021102
Jun 11th 09:16:35.881 UTC 3 10 1 546 540 1436.845 2468.82 10.0214 194.7265 12.81443 2 1 64 0 0 0 NaN
Jun 11th 09:15:52.387 UTC 2 13 39 836 828 2155.304 3227.436 0 303.4611 150.0867 0 0 72 0 0 327.4186 2.021102
Jun 11th 09:15:35.014 UTC 3 8 1 545 540 1435.075 2468.82 10.0214 194.794 12.83999 2 1 63 0 0 0 NaN
Jun 11th 09:14:52.409 UTC 2 15 39 834 823 2144.339 3208.446 0 303.8029 150.4837 0 0 72 0 0 327.4186 2.021102
Jun 11th 09:14:35.002 UTC 3 8 1 545 538 1435.075 2460.462 10.0214 194.794 12.86731 2 1 63 0 0 0 NaN
Jun 11th 09:13:52.397 UTC 2 15 40 831 821 2138.804 3202.118 0 304.3829 150.6228 0 0 72 0 0 326.8186 2.042616
Jun 11th 09:13:35.013 UTC 3 7 0 542 538 1426.312 2460.462 10.0214 194.6103 12.88461 2 1 63 0 0 0 NaN
Jun 11th 09:12:52.397 UTC 2 15 38 828 819 2126.518 3197.223 0 305.0371 150.9436 0 0 72 0 0 325.1836 2.04518
Jun 11th 09:12:35.003 UTC 3 7 0 542 537 1426.312 2453.436 10.0214 194.6103 12.90755 2 1 63 0 0 0 NaN
Jun 11th 09:11:51.316 UTC 2 15 37 823 816 2112.063 3185.933 0 303.6216 151.3772 0 0 71 0 0 325.1836 2.04518
Jun 11th 09:11:35.002 UTC 3 11 0 540 532 1423.777 2425.217 10.0214 194.7165 12.91581 2 1 63 0 0 0 NaN
