dt1 dt2 dt3 dt4 controller drones queue deliveries fullTrips revenue costs penalties avgDelTime avgWaitTime fDel fRet fLaunch collisions unknown potentialLost avgPotentialLost
Jun 11th 12:27:02.610 UTC 2 15 39 797 790 2551.213 3484.366 0 418.0746 244.609 0 0 47 0 0 325.9941 0.5335419
Jun 11th 12:26:30.464 UTC 3 15 0 575 565 1497.327 2601.271 0 195.202 10.74595 0 0 86 0 0 0 NaN
Jun 11th 12:26:02.599 UTC 2 15 40 795 785 2542.303 3467.188 0 418.5743 244.4797 0 0 47 0 0 325.9941 0.5335419
Jun 11th 12:25:30.475 UTC 3 13 1 573 565 1493.412 2601.271 0 195.1032 10.7713 0 0 86 0 0 0 NaN
Jun 11th 12:25:02.598 UTC 2 15 39 791 782 2524.037 3451.344 0 419.2533 244.977 0 0 47 0 0 325.9941 0.5335419
Jun 11th 12:24:29.071 UTC 3 13 0 571 564 1491.272 2594.129 0 195.1228 10.7771 0 0 84 0 0 0 NaN
Jun 11th 12:24:02.608 UTC 2 14 39 788 781 2510.267 3446.781 0 420.1635 245.326 0 0 47 0 0 325.9941 0.5352941
Jun 11th 12:23:29.059 UTC 3 12 1 569 563 1487.457 2591.398 0 195.0961 10.80231 0 0 84 0 0 0 NaN
Jun 11th 12:23:02.610 UTC 2 14 42 787 777 2507.567 3426.75 0 420.317 246.3001 0 0 47 0 0 324.7841 0.5359474
Jun 11th 12:22:28.068 UTC 3 12 0 569 562 1487.457 2584.431 0 195.0961 10.80716 0 0 83 0 0 0 NaN
Jun 11th 12:22:02.602 UTC 2 15 42 786 775 2503.585 3413.284 0 420.5809 246.4781 0 0 47 0 0 324.7841 0.5467746
Jun 11th 12:21:28.057 UTC 3 12 0 566 560 1482.094 2571.013 0 194.9927 10.8413 0 0 83 0 0 0 NaN
Jun 11th 12:21:02.593 UTC 2 15 41 781 773 2487.78 3403.506 0 421.7241 246.848 0 0 47 0 0 323.6941 0.5580933
Jun 11th 12:20:28.056 UTC 3 10 0 565 560 1480.069 2571.013 0 194.7189 10.85283 0 0 83 0 0 0 NaN
Jun 11th 12:20:02.616 UTC 2 15 39 779 773 2484.573 3403.506 0 418.9465 246.848 0 0 47 0 0 323.6941 0.5600244
Jun 11th 12:19:28.064 UTC 3 8 0 564 560 1479.169 2571.013 0 194.5503 10.88024 0 0 83 0 0 0 NaN
Jun 11th 12:19:02.609 UTC 2 15 41 778 770 2480.49 3392.491 0 419.2146 247.6091 0 0 47 0 0 322.6041 0.5610507
Jun 11th 12:18:28.053 UTC 3 10 0 563 558 1475.704 2564.133 0 194.6048 10.88024 0 0 83 0 0 0 NaN
Jun 11th 12:18:02.602 UTC 2 14 42 775 768 2469.937 3386.175 0 419.7538 248.3479 0 0 47 0 0 321.0042 0.5691563
Jun 11th 12:17:28.052 UTC 3 9 0 561 557 1470.522 2561.714 0 194.6743 10.89914 0 0 83 0 0 0 NaN
Jun 11th 12:17:02.601 UTC 2 15 41 770 766 2456.72 3374.285 0 419.9482 248.6317 0 0 47 0 0 320.1042 0.5757269
Jun 11th 12:16:28.066 UTC 3 10 1 561 555 1470.522 2555.836 0 194.6743 10.91488 0 0 83 0 0 0 NaN
Jun 11th 12:16:02.591 UTC 2 14 43 770 763 2456.72 3361.84 0 419.9482 245.9557 0 0 47 0 0 318.6327 0.5825095
Jun 11th 12:15:28.055 UTC 3 10 1 558 553 1465.536 2542.701 0 194.7288 10.93046 0 0 83 0 0 0 NaN
Jun 11th 12:15:00.632 UTC 2 15 43 769 760 2451.635 3345.23 0 420.0549 246.5627 0 0 45 0 0 318.6327 0.604616
Jun 11th 12:14:28.055 UTC 3 10 0 557 551 1464.186 2537.174 0 194.7095 10.95873 0 0 83 0 0 0 NaN
Jun 11th 12:14:00.631 UTC 2 15 45 765 756 2431.183 3323.154 0 421.1054 247.1483 0 0 45 0 0 317.5427 0.6238559
Jun 11th 12:13:28.067 UTC 3 11 0 555 549 1459.821 2528.775 0 194.9767 10.96579 0 0 83 0 0 0 NaN
