dt1 dt2 dt3 dt4 controller drones queue deliveries fullTrips revenue costs penalties avgDelTime avgWaitTime fDel fRet fLaunch collisions unknown total
Jun 6th 20:49:21.950 UTC 2 15 1 868 858 116748 3761.117 0 192.0845 19.9169 0 0 53 0 0 3457
Jun 6th 20:49:10.357 UTC 3 14 1 809 804 108018 3585.996 0 190.4245 14.35242 0 0 119 0 0 1987
Jun 6th 20:48:21.952 UTC 2 15 1 864 858 116468 3761.117 0 191.9737 19.9169 0 0 53 0 0 3449
Jun 6th 20:48:10.358 UTC 3 15 1 808 801 107864 3578.152 0 190.2566 14.37046 0 0 119 0 0 1980
Jun 6th 20:47:21.942 UTC 2 15 1 860 857 115809 3756.321 0 192.1198 19.87125 0 0 53 0 0 3437
Jun 6th 20:47:10.368 UTC 3 15 1 807 800 107680 3572.858 0 190.3453 14.33168 0 0 119 0 0 1978
Jun 6th 20:46:20.778 UTC 2 13 0 859 855 115636 3747.347 0 192.1273 19.92963 0 0 52 0 0 3427
Jun 6th 20:46:09.532 UTC 3 13 0 803 799 107108 3570.647 0 190.5223 14.35126 0 0 118 0 0 1972
Jun 6th 20:45:20.767 UTC 2 15 1 859 848 115636 3722.399 0 192.1273 19.96341 0 0 52 0 0 3419
Jun 6th 20:45:08.683 UTC 3 11 1 801 797 106599 3560.738 0 190.4797 14.38286 0 0 117 0 0 1964
Jun 6th 20:44:20.767 UTC 2 15 1 856 846 115337 3709.169 0 192.0814 19.98016 0 0 52 0 0 3410
Jun 6th 20:44:07.784 UTC 3 12 0 800 793 106422 3546.378 0 190.6018 14.42675 0 0 116 0 0 1959
Jun 6th 20:43:20.778 UTC 2 14 1 852 843 114792 3697.642 0 192.3843 20.01412 0 0 52 0 0 3399
Jun 6th 20:43:07.774 UTC 3 11 1 798 791 106208 3542.673 0 190.7078 14.45982 0 0 116 0 0 1956
Jun 6th 20:42:19.712 UTC 2 15 1 850 842 114558 3693.459 0 192.3425 20.01412 0 0 51 0 0 3388
Jun 6th 20:42:06.197 UTC 3 11 1 795 789 105817 3531.692 0 191.0099 14.48281 0 0 114 0 0 1952
Jun 6th 20:41:19.721 UTC 2 15 1 847 839 114192 3682.886 0 192.3554 20.0175 0 0 51 0 0 3379
Jun 6th 20:41:05.438 UTC 3 14 1 793 784 105587 3497.18 0 191.1124 14.5098 0 0 113 0 0 1945
Jun 6th 20:40:19.718 UTC 2 14 1 845 838 113790 3680.917 0 192.5127 19.98537 0 0 51 0 0 3369
Jun 6th 20:40:05.429 UTC 3 15 1 791 780 105330 3485.424 0 191.2734 14.49931 0 0 113 0 0 1940
Jun 6th 20:39:19.720 UTC 2 15 1 840 834 112865 3659.243 0 192.4167 20.01932 0 0 51 0 0 3358
Jun 6th 20:39:05.439 UTC 3 14 0 788 780 104888 3485.424 0 191.1828 14.51594 0 0 113 0 0 1937
Jun 6th 20:38:18.556 UTC 2 15 0 839 832 112756 3647.915 0 192.4085 20.05073 0 0 50 0 0 3346
Jun 6th 20:38:05.440 UTC 3 15 1 787 777 104711 3475.344 0 191.2632 14.47968 0 0 113 0 0 1931
Jun 6th 20:37:18.555 UTC 2 15 1 838 827 112676 3623.526 0 192.4338 20.04562 0 0 50 0 0 3337
Jun 6th 20:37:05.429 UTC 3 14 1 782 775 103807 3464.127 0 191.2497 14.49246 0 0 113 0 0 1928
Jun 6th 20:36:18.554 UTC 2 15 1 837 827 112499 3623.526 0 192.3848 20.04562 0 0 50 0 0 3325
Jun 6th 20:36:05.429 UTC 3 15 1 781 773 103634 3455.287 0 191.3143 14.46206 0 0 113 0 0 1925
Jun 6th 20:35:18.553 UTC 2 15 0 834 825 112162 3615.822 0 192.4198 20.05111 0 0 50 0 0 3317
Jun 6th 20:35:04.451 UTC 3 15 1 778 770 103385 3437.889 0 190.8195 14.43781 0 0 112 0 0 1916
Jun 6th 20:34:18.544 UTC 2 15 1 829 821 111206 3603.782 0 192.3829 20.03357 0 0 50 0 0 3309
Jun 6th 20:34:04.439 UTC 3 15 1 777 768 103325 3432.158 0 190.6225 14.44806 0 0 112 0 0 1909
Jun 6th 20:33:18.564 UTC 2 14 1 829 821 111206 3603.782 0 192.3829 20.01239 0 0 50 0 0 3298
Jun 6th 20:33:04.439 UTC 3 15 1 772 766 102673 3419.821 0 190.6866 14.40708 0 0 112 0 0 1907
Jun 6th 20:32:18.554 UTC 2 14 1 823 818 110562 3588.65 0 192.5344 20.05193 0 0 50 0 0 3286
Jun 6th 20:32:04.429 UTC 3 14 1 772 765 102673 3413.659 0 190.6866 14.32315 0 0 112 0 0 1902
Jun 6th 20:31:18.564 UTC 2 15 1 823 815 110562 3574.864 0 192.5344 20.05758 0 0 50 0 0 3280
Jun 6th 20:31:04.439 UTC 3 15 1 770 764 102362 3411.16 0 190.6427 14.32315 0 0 112 0 0 1894
Jun 6th 20:30:16.170 UTC 2 14 1 819 812 110039 3565.144 0 192.6357 20.0883 0 0 48 0 0 3273
Jun 6th 20:30:04.440 UTC 3 15 1 767 762 102058 3405.337 0 190.6369 14.3155 0 0 112 0 0 1887
Jun 6th 20:29:16.168 UTC 2 13 1 819 810 110039 3556.994 0 192.6357 20.12861 0 0 48 0 0 3263
