dt1 dt2 dt3 dt4 controller drones queue deliveries fullTrips revenue costs penalties avgDelTime avgWaitTime fDel fRet fLaunch collisions unknown total
Jun 8th 23:49:24.165 UTC 3 15 1 789 781 106928 3606.983 7.26 199.2278 15.47803 1 1 119 0 0 1970
Jun 8th 23:49:23.740 UTC 2 15 1 855 847 114230 3773.831 0 194.8489 20.28635 0 0 45 0 0 3475
Jun 8th 23:48:24.154 UTC 3 13 1 788 780 106751 3604.216 7.26 199.1381 15.49118 1 1 119 0 0 1967
Jun 8th 23:48:23.750 UTC 2 15 1 853 845 113967 3758.897 0 194.8529 20.20627 0 0 45 0 0 3464
Jun 8th 23:47:24.175 UTC 3 15 1 784 776 106368 3589.25 7.26 198.925 15.45707 1 1 119 0 0 1960
Jun 8th 23:47:23.739 UTC 2 15 1 850 845 113502 3758.897 0 194.9447 20.20627 0 0 45 0 0 3455
Jun 8th 23:46:24.166 UTC 3 15 1 782 775 106060 3584.106 7.26 198.9268 15.40837 1 1 119 0 0 1956
Jun 8th 23:46:23.738 UTC 2 13 1 848 842 113145 3743.544 0 194.8663 20.26534 0 0 45 0 0 3444
Jun 8th 23:45:24.165 UTC 3 15 0 780 772 105871 3561.06 7.26 199.0989 15.43779 1 1 119 0 0 1951
Jun 8th 23:45:22.679 UTC 2 15 1 847 837 112991 3719.001 0 194.6944 20.30959 0 0 44 0 0 3434
Jun 8th 23:44:24.175 UTC 3 13 1 778 771 105459 3557.677 7.26 198.8046 15.42908 1 1 119 0 0 1945
Jun 8th 23:44:22.678 UTC 2 14 0 846 837 112837 3719.001 0 194.7474 20.32676 0 0 44 0 0 3425
Jun 8th 23:43:23.319 UTC 3 15 1 777 767 105379 3543.139 7.26 198.8137 15.42852 1 1 118 0 0 1939
Jun 8th 23:43:22.678 UTC 2 15 1 845 833 112777 3696.472 0 194.6452 20.29122 0 0 44 0 0 3417
Jun 8th 23:42:23.319 UTC 3 15 1 775 764 104987 3527.789 7.26 198.8781 15.39214 1 1 118 0 0 1934
Jun 8th 23:42:22.690 UTC 2 15 1 840 832 112083 3689.605 0 194.4669 20.29427 0 0 44 0 0 3406
Jun 8th 23:41:23.319 UTC 3 14 1 773 764 104748 3527.789 7.26 199.152 15.38851 1 1 118 0 0 1931
Jun 8th 23:41:22.678 UTC 2 15 1 837 831 111863 3687.403 0 194.3469 20.16495 0 0 44 0 0 3394
