dt1 dt2 dt3 dt4 controller drones queue deliveries fullTrips revenue costs penalties avgDelTime avgWaitTime fDel fRet fLaunch collisions unknown rejectionPenalties potentialLost avgPotentialLost
Jun 12th 16:18:27.626 UTC 2 15 38 787 777 2504.256 3465.853 0 347.1033 171.1094 0 0 58 0 0 4465 502.2105 0.5623858
Jun 12th 16:17:38.370 UTC 3 11 0 604 598 1562.511 2659.003 0 195.4438 17.53814 0 0 81 0 0 0 0 NaN
Jun 12th 16:17:27.626 UTC 2 13 39 784 776 2493.82 3464.193 0 347.8924 171.5961 0 0 58 0 0 4465 502.2105 0.5623858
Jun 12th 16:16:38.381 UTC 3 10 1 602 597 1558.299 2655.362 0 194.5917 17.58432 0 0 81 0 0 0 0 NaN
Jun 12th 16:16:26.334 UTC 2 15 40 780 772 2486.028 3446.763 0 347.2004 171.9731 0 0 57 0 0 4455 500.519 0.5617498
Jun 12th 16:15:38.382 UTC 3 7 0 600 596 1554.681 2654.003 0 194.2294 17.6699 0 0 81 0 0 0 0 NaN
Jun 12th 16:15:26.334 UTC 2 15 39 777 772 2478.61 3446.763 0 347.9825 171.9731 0 0 57 0 0 4450 499.6427 0.5613963
Jun 12th 16:14:37.463 UTC 3 8 1 598 595 1549.798 2645.419 0 194.2142 17.6699 0 0 80 0 0 0 0 NaN
Jun 12th 16:14:26.333 UTC 2 15 40 776 768 2473.03 3428.558 0 348.1205 172.7954 0 0 57 0 0 4445 499.0844 0.5613997
Jun 12th 16:13:36.344 UTC 3 10 0 596 592 1542.29 2627.389 0 194.1929 17.68489 0 0 79 0 0 0 0 NaN
Jun 12th 16:13:25.200 UTC 2 14 40 772 767 2459.221 3425.255 0 348.8911 173.1847 0 0 56 0 0 4435 498.5602 0.5620746
Jun 12th 16:12:36.365 UTC 3 10 1 596 591 1542.29 2624.405 0 194.1929 17.70139 0 0 79 0 0 0 0 NaN
Jun 12th 16:12:25.199 UTC 2 14 40 771 764 2456.521 3407.299 0 349.0048 172.6234 0 0 56 0 0 4430 497.6785 0.5617139
Jun 12th 16:11:36.351 UTC 3 11 1 595 589 1539.635 2610.904 0 194.3348 17.72625 0 0 79 0 0 0 0 NaN
Jun 12th 16:11:25.189 UTC 2 15 41 771 761 2456.521 3393.369 0 349.0048 173.0263 0 0 56 0 0 4400 493.764 0.5610954
Jun 12th 16:10:36.354 UTC 3 15 0 594 585 1535.495 2587.516 0 194.4536 17.72625 0 0 79 0 0 0 0 NaN
Jun 12th 16:10:23.983 UTC 2 15 40 768 758 2448.969 3385.5 0 348.4484 173.5551 0 0 55 0 0 4390 492.6583 0.5611142
Jun 12th 16:09:36.364 UTC 3 14 1 593 583 1533.043 2578.763 0 194.3432 17.79848 0 0 79 0 0 0 0 NaN
Jun 12th 16:09:23.973 UTC 2 15 39 764 757 2433.266 3383.094 0 348.8393 173.7762 0 0 55 0 0 4385 492.0956 0.5611123
Jun 12th 16:08:35.108 UTC 3 13 0 590 582 1527.185 2575.719 0 194.2619 17.83633 0 0 78 0 0 0 0 NaN
Jun 12th 16:08:23.973 UTC 2 14 40 761 755 2421.386 3371.73 0 349.7177 174.3783 0 0 55 0 0 4370 490.4165 0.5611173
Jun 12th 16:07:35.097 UTC 3 13 0 587 582 1521.935 2575.719 0 194.2652 17.83633 0 0 78 0 0 0 0 NaN
Jun 12th 16:07:22.741 UTC 2 14 41 759 751 2416.581 3353.809 0 349.1366 174.0313 0 0 54 0 0 4360 490.4557 0.5624492
